Loan_ID,Customer_ID,Product,Disbursement_Date,Loan_Amount,Interest_Rate,Tenure,DPD_Days,NPA_Flag
LOAN_0000001,CUST_01326,Education,2021-01-30,1790242.44,11.54,120,3,N
LOAN_0000003,CUST_08936,Home,2023-09-03,7053458.84,7.77,120,9,N
LOAN_0000006,CUST_09838,Home,2021-01-07,8172122.22,7.89,180,6,N
LOAN_0000009,CUST_00854,Personal,2021-08-09,126520.2,16.97,24,4,N
LOAN_0000010,CUST_02159,Personal,2022-04-21,1495851.57,12.63,60,22,N
LOAN_0000011,CUST_06440,Personal,2022-11-20,1364495.23,14.36,48,2,N
LOAN_0000012,CUST_03302,Auto,2022-01-28,1776748.21,11.22,48,9,N
LOAN_0000014,CUST_05677,Auto,2025-09-20,1379446.47,10.5,60,7,N
LOAN_0000018,CUST_00002,Home,2023-11-21,6412229.63,7.93,300,27,N
LOAN_0000020,CUST_01624,Home,2024-08-22,8927455.01,7.79,240,1,N
LOAN_0000021,CUST_02902,Personal,2024-10-24,319631.4,12.23,48,2,N
LOAN_0000023,CUST_08551,Personal,2024-05-23,679876.58,10.78,24,3,N
LOAN_0000024,CUST_01443,Personal,2021-11-06,1406152.38,15.78,36,90,Y
LOAN_0000026,CUST_05039,Home,2022-02-11,7229239.08,9.39,240,22,N
LOAN_0000027,CUST_02287,Education,2021-01-09,675756.47,9.16,120,3,N
LOAN_0000028,CUST_10150,Auto,2025-08-09,1287844.07,10.96,72,6,N
LOAN_0000029,CUST_07526,Personal,2021-03-17,145999.33,16.3,36,5,N
LOAN_0000030,CUST_00144,Home,2023-06-11,4367484.41,7.41,240,5,N
LOAN_0000032,CUST_00283,Personal,2023-01-02,724494.66,10.77,36,9,N
LOAN_0000033,CUST_04081,Auto,2021-07-21,1939703.64,8.49,60,3,N
LOAN_0000036,CUST_01655,Personal,2021-02-14,749585.84,11.5,60,4,N
LOAN_0000037,CUST_05821,Education,2024-11-10,1983629.53,7.7,60,5,N
LOAN_0000038,CUST_02724,Personal,2023-12-12,553433.11,10.76,36,4,N
LOAN_0000039,CUST_08073,Personal,2022-11-21,993839.03,15.34,36,48,N
LOAN_0000040,CUST_03625,Personal,2022-05-31,862900.91,14.52,24,7,N
LOAN_0000042,CUST_05139,Home,2022-04-23,4038508.84,9.25,300,95,Y
